Id,MSSubClass,MSZoning,LotArea,LotShape,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,MasVnrArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MoSold,SaleCondition,SalePrice
1,60,2,9.04192172035122,3,7,5,5,5,8,196.0,2,4,4,2,706,6,0,150,856,0,6.752270376141743,854,0,1,2,8,0,3,0,5.0,2,2,548,0,61,0,0,0,0,2,2,12.247694320220996
2,20,2,9.169518377455928,3,6,8,31,31,4,0.0,2,4,1,0,978,6,0,284,1262,0,7.140453043101157,0,0,0,3,6,1,5,0,31.0,2,2,460,298,0,0,0,0,0,5,2,12.109010932687044
3,60,2,9.328123407632567,0,7,5,7,6,8,162.0,2,4,3,2,486,6,0,434,920,0,6.8243736700430855,866,0,1,2,6,1,5,0,7.0,2,2,608,0,42,0,0,0,0,9,2,12.31716669303576
4,70,2,9.164296433474776,0,7,5,91,36,9,0.0,4,1,4,0,216,6,0,540,756,2,6.8679744089702925,756,0,1,2,7,1,2,3,8.0,3,3,642,0,35,272,0,0,0,2,0,11.849397701591439
5,60,2,9.565213693968287,0,8,5,8,8,8,350.0,2,4,0,2,655,6,0,490,1145,0,7.0431599159883405,1053,0,1,2,9,1,5,0,8.0,2,3,836,192,84,0,0,0,0,12,2,12.429216196844385
6,50,2,9.55499334068759,0,5,5,16,14,8,0.0,2,4,4,2,732,6,0,64,796,0,6.679599185844383,566,0,1,3,5,0,3,0,16.0,3,2,480,40,30,0,320,0,0,10,2,11.870599909242046
7,20,2,9.218705288307811,3,8,5,3,2,8,186.0,0,4,0,2,1369,6,0,317,1686,0,7.434847875211999,0,0,1,2,7,1,2,0,3.0,2,2,636,255,57,0,0,0,0,8,2,12.634603026569335
8,60,2,9.247828816387175,0,7,6,36,36,3,240.0,2,4,3,0,859,1,32,216,1107,0,7.009408932708638,983,0,1,3,7,2,5,0,36.0,2,2,484,235,204,228,0,0,0,11,2,12.206072645530176
9,50,3,8.719317375506371,3,7,5,77,58,1,0.0,4,4,4,6,0,6,0,952,952,2,6.92951677076365,752,0,0,3,8,2,5,3,77.0,3,2,468,90,0,205,0,0,0,4,0,11.774520202658689
10,190,2,8.911934336161426,3,5,6,69,58,4,0.0,4,4,4,2,851,6,0,140,991,0,6.981934677156389,0,0,1,3,5,2,5,0,69.0,2,1,205,0,4,0,0,0,0,1,2,11.6784399034478
11,20,2,9.323669057283183,3,5,5,43,43,3,0.0,4,4,4,5,906,6,0,134,1040,0,6.9469759921354175,0,0,1,3,5,0,3,3,43.0,3,1,384,0,0,0,0,0,0,2,2,11.771436160121727
12,60,2,9.386308454797962,0,9,5,1,0,10,286.0,0,4,4,2,998,6,0,177,1175,0,7.074963197966044,1142,0,1,0,11,2,2,2,1.0,0,3,736,147,21,0,0,0,0,7,3,12.751299696013493
13,20,2,9.470240063415512,1,5,6,46,46,3,0.0,4,4,4,0,737,6,0,175,912,4,6.815639990074331,0,0,1,3,4,0,3,3,46.0,3,1,352,140,0,0,0,176,0,9,2,11.877568578558137
14,20,2,9.273502946933824,0,7,5,1,0,8,306.0,2,4,0,6,0,6,0,1494,1494,0,7.309212365692762,0,0,0,2,7,1,2,0,1.0,2,3,840,160,33,0,0,0,0,8,3,12.540757571577293
15,20,2,9.298351249298896,0,6,5,48,48,4,212.0,4,4,4,1,733,6,0,520,1253,4,7.1332959548960675,0,0,1,3,5,1,1,0,48.0,2,1,352,0,213,176,0,0,0,5,2,11.964001084330445
16,45,3,8.719317375506371,3,7,8,78,6,9,0.0,4,4,4,6,0,6,0,832,832,0,6.74993119378857,0,0,0,3,5,0,3,3,16.0,3,2,576,48,112,0,0,0,0,7,2,11.790557201568507
17,20,2,9.327323087461798,0,6,7,40,40,9,180.0,4,4,4,0,578,6,0,426,1004,0,6.911747300251673,0,0,1,3,5,1,5,0,40.0,0,2,480,0,0,0,0,0,0,3,2,11.911701584927595
18,90,2,9.286467732363734,3,4,5,39,39,4,0.0,3,2,2,4,0,3,0,0,0,4,7.16703787691222,0,0,0,3,6,0,3,5,39.0,3,2,516,0,0,0,0,0,0,10,2,11.407564949312404
19,20,2,9.524786081697178,3,5,5,4,4,8,0.0,4,4,4,2,646,6,0,468,1114,0,7.015712420487231,0,0,1,2,6,0,3,3,4.0,3,2,576,0,102,0,0,0,0,6,2,11.976659481202367
20,20,2,8.930626469173578,3,5,6,51,44,1,0.0,4,4,4,3,504,6,0,525,1029,4,7.199678345691173,0,0,0,3,6,0,3,0,51.0,3,1,294,0,0,0,0,0,0,5,0,11.842229212112827
21,60,2,9.562053024085099,0,8,5,1,0,8,380.0,0,4,0,6,0,6,0,1158,1158,0,7.05444965813294,1218,0,0,2,9,1,2,2,1.0,2,3,853,240,154,0,0,0,0,11,3,12.692503112461445
